,gameId,season,date,HomeTeam,f_goals_home,f_xg_home,f_ns_xg_home,f_adj_score_home,f_margin_home,f_opp_goals_home,f_opp_xg_home,f_opp_ns_xg_home,f_opp_adj_score_home,AwayTeam,f_goals_away,f_xg_away,f_ns_xg_away,f_adj_score_away,f_margin_away,f_opp_goals_away,f_opp_xg_away,f_opp_ns_xg_away,f_opp_adj_score_away,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,FTR,FTHG,FTAG,f_homeElo,f_awayElo,f_winPct
0,1,2016,2016-08-13,Hull City,,,,,,,,,,Leicester City,,,,,,,,,,53.57,66.81,0.3459,0.3621,0.2921,1.16,1.24,38.1,22.2,H,2.0,1.0,1500.0,1500.0,0.5742802036545245
1,2,2016,2016-08-13,Burnley,,,,,,,,,,Swansea City,,,,,,,,,,58.98,59.74,0.4482,0.2663,0.2854,1.37,1.05,36.5,29.1,A,0.0,1.0,1500.0,1500.0,0.5742802036545245
2,3,2016,2016-08-13,Southampton,,,,,,,,,,Watford,,,,,,,,,,69.49,59.33,0.5759,0.1874,0.2367,1.91,1.05,34.1,30.7,D,1.0,1.0,1500.0,1500.0,0.5742802036545245
3,4,2016,2016-08-13,Middlesbrough,,,,,,,,,,Stoke City,,,,,,,,,,56.32,60.35,0.438,0.2692,0.2927,1.3,1.01,33.9,32.5,D,1.0,1.0,1500.0,1500.0,0.5742802036545245
4,5,2016,2016-08-13,Crystal Palace,,,,,,,,,,West Bromwich Albion,,,,,,,,,,55.19,58.66,0.4214,0.2939,0.2847,1.35,1.14,43.6,34.6,A,0.0,1.0,1500.0,1500.0,0.5742802036545245
5,6,2016,2016-08-13,Everton,,,,,,,,,,Tottenham Hotspur,,,,,,,,,,68.02,73.25,0.391,0.3401,0.2689,1.47,1.38,31.9,48.0,D,1.0,1.0,1500.0,1500.0,0.5742802036545245
6,7,2016,2016-08-13,Manchester City,,,,,,,,,,Sunderland,,,,,,,,,,86.42,53.64,0.8152,0.0525,0.1323,2.69,0.48,73.0,27.0,H,2.0,1.0,1500.0,1500.0,0.5742802036545245
7,8,2016,2016-08-14,AFC Bournemouth,,,,,,,,,,Manchester United,,,,,,,,,,61.57,80.49,0.2111,0.5461,0.2428,1.15,1.78,27.9,58.0,A,1.0,3.0,1500.0,1500.0,0.5742802036545245
8,9,2016,2016-08-14,Arsenal,,,,,,,,,,Liverpool,,,,,,,,,,82.55,77.44,0.5551,0.2115,0.2334,1.91,1.21,62.7,63.9,A,3.0,4.0,1500.0,1500.0,0.5742802036545245
9,10,2016,2016-08-15,Chelsea,,,,,,,,,,West Ham United,,,,,,,,,,80.7,63.27,0.6908,0.1177,0.1915,2.23,0.91,67.7,25.5,H,2.0,1.0,1500.0,1500.0,0.5742802036545245
10,11,2016,2016-08-19,Manchester United,,,,,,,,,,Southampton,,,,,,,,,,81.05,69.22,0.6197,0.1494,0.2309,1.85,0.87,61.8,41.6,H,2.0,0.0,1512.99447764177,1498.8115167415276,0.5941093844757609
11,12,2016,2016-08-20,Stoke City,,,,,,,,,,Manchester City,,,,,,,,,,60.42,85.71,0.1278,0.672,0.2002,0.99,1.98,28.9,67.0,A,1.0,4.0,1501.1884832584724,1506.8115167415276,0.5663482255275002
12,13,2016,2016-08-20,Burnley,,,,,,,,,,Liverpool,,,,,,,,,,57.85,78.87,0.2079,0.552,0.2402,1.12,1.79,31.4,56.4,H,2.0,0.0,1490.8115167415276,1509.1884832584724,0.5482369430422115
13,14,2016,2016-08-20,West Bromwich Albion,,,,,,,,,,Everton,,,,,,,,,,59.64,67.51,0.3696,0.3491,0.2814,1.31,1.3,29.7,27.7,A,1.0,2.0,1509.1884832584724,1498.8115167415276,0.5888154540476129
14,15,2016,2016-08-20,Watford,,,,,,,,,,Chelsea,,,,,,,,,,59.57,80.51,0.1955,0.5783,0.2262,1.2,1.98,29.4,60.3,A,1.0,2.0,1501.1884832584724,1506.8115167415276,0.5663482255275002
15,16,2016,2016-08-20,Swansea City,,,,,,,,,,Hull City,,,,,,,,,,60.87,53.47,0.4993,0.2171,0.2836,1.41,0.86,29.1,32.4,A,0.0,2.0,1509.1884832584724,1506.8115167415276,0.5776219886470697
16,17,2016,2016-08-20,Tottenham Hotspur,,,,,,,,,,Crystal Palace,,,,,,,,,,73.64,54.21,0.6638,0.119,0.2172,1.94,0.71,44.2,37.5,H,1.0,0.0,1501.1884832584724,1490.8115167415276,0.5888154540476129
17,18,2016,2016-08-20,Leicester City,,,,,,,,,,Arsenal,,,,,,,,,,66.93,81.57,0.2505,0.5056,0.2439,1.31,1.78,23.8,63.0,D,0.0,0.0,1493.1884832584724,1490.8115167415276,0.5776219886470697
18,19,2016,2016-08-21,Sunderland,,,,,,,,,,Middlesbrough,,,,,,,,,,54.83,56.24,0.4393,0.2722,0.2885,1.34,1.04,37.6,37.8,A,1.0,2.0,1493.1884832584724,1498.8115167415276,0.5663482255275002
19,20,2016,2016-08-21,West Ham United,,,,,,,,,,AFC Bournemouth,,,,,,,,,,63.46,60.82,0.4867,0.2569,0.2564,1.71,1.23,26.8,27.1,H,1.0,0.0,1493.1884832584724,1487.00552235823,0.5829579610160966
20,21,2016,2016-08-27,Tottenham Hotspur,1.0,1.726,1.591090909090909,1.05,0.509090909090909,0.4909090909090909,0.5619999999999999,0.8341818181818182,0.5154545454545454,Liverpool,1.9636363636363636,1.509090909090909,1.9329090909090907,2.0618181818181816,-0.5272727272727272,2.4909090909090903,0.6665454545454544,0.7521818181818182,2.6154545454545453,73.71,78.14,0.3967,0.3444,0.2589,1.58,1.46,55.0,64.1,D,1.0,1.0,1507.7674359937105,1498.9662521844111,0.5866175179751165
21,22,2016,2016-08-27,Southampton,0.4909090909090909,0.8718181818181817,1.6065454545454545,0.5154545454545454,-1.018181818181818,1.509090909090909,0.8054545454545455,1.0107272727272727,1.5845454545454543,Sunderland,1.0,1.418,1.586909090909091,1.05,-1.0,2.0,1.4578181818181817,1.418,2.1,68.93,54.48,0.5952,0.1609,0.2439,1.75,0.86,20.7,39.1,D,1.0,1.0,1489.627260528498,1484.1269116500323,0.5820023355005763
22,23,2016,2016-08-27,Leicester City,0.4909090909090909,1.5736363636363635,0.9598181818181818,0.5154545454545454,-0.4909090909090909,0.9818181818181818,0.7125454545454545,0.8623636363636363,1.0309090909090908,Swansea City,0.4909090909090909,1.5905454545454545,2.3490909090909087,0.5154545454545454,-0.5272727272727272,1.018181818181818,1.5963636363636362,1.3179999999999998,0.8043636363636364,66.6,59.55,0.5351,0.2056,0.2593,1.65,0.98,19.7,29.3,H,2.0,1.0,1491.9465314401193,1496.1183896541588,0.568398712777318
23,24,2016,2016-08-27,Crystal Palace,0.0,0.7485454545454545,0.8145454545454546,0.0,-1.0,1.0,1.5149090909090908,1.4879999999999998,1.05,AFC Bournemouth,0.4909090909090909,0.48454545454545456,1.2525454545454546,0.5154545454545454,-1.490909090909091,1.9818181818181817,2.0216363636363632,1.3585454545454545,2.080909090909091,54.06,60.24,0.3985,0.3146,0.2869,1.29,1.19,47.8,36.4,D,1.0,1.0,1484.2325640062895,1480.3328497344876,0.5797591165200622
24,25,2016,2016-08-27,Everton,1.509090909090909,1.3510909090909091,1.5214545454545456,1.5845454545454543,0.509090909090909,1.0,1.6241818181818182,1.7845454545454544,1.05,Stoke City,1.0,0.9725454545454545,0.9429090909090909,1.05,-1.5272727272727271,2.5272727272727273,1.8378181818181814,1.5983636363636362,2.180181818181818,68.06,59.86,0.547,0.1954,0.2575,1.66,0.94,29.4,31.6,H,1.0,0.0,1508.2325640062895,1485.4933808362307,0.6059293823316677
25,26,2016,2016-08-27,Chelsea,2.0,1.7129090909090907,1.9025454545454545,2.1,1.0,1.0,0.6569090909090908,0.6074545454545455,1.05,Burnley,1.018181818181818,0.7156363636363636,1.0074545454545454,1.069090909090909,0.5272727272727272,0.4909090909090909,1.509090909090909,1.967272727272727,0.5154545454545454,80.86,58.66,0.7139,0.0914,0.1947,2.04,0.63,65.2,27.5,H,3.0,0.0,1515.8730883499677,1501.0337478155889,0.5950202018362722
26,27,2016,2016-08-27,Watford,1.0,0.4949090909090909,0.4405454545454545,1.05,-0.509090909090909,1.509090909090909,1.4674545454545456,1.7847272727272727,1.5845454545454543,Arsenal,1.4727272727272727,0.8549090909090908,1.3630909090909091,1.5463636363636364,-0.4909090909090909,1.9636363636363636,1.1170909090909091,1.0776363636363635,2.0618181818181816,59.03,81.56,0.1698,0.6133,0.2169,1.15,2.01,30.4,58.9,A,1.0,3.0,1492.1269116500323,1492.0534685598807,0.5743835608426991
27,28,2016,2016-08-27,Hull City,2.0,1.4049090909090909,0.5619999999999999,1.8352727272727272,1.509090909090909,0.4909090909090909,2.0470909090909086,2.1969090909090907,0.5154545454545454,Manchester United,2.4909090909090903,1.7823636363636364,1.2414545454545454,2.6154545454545453,2.0,0.4909090909090909,0.6067272727272727,1.4052727272727272,0.5154545454545454,54.79,81.23,0.175,0.5752,0.2498,0.89,1.64,26.7,54.9,A,0.0,1.0,1519.8816103458412,1522.1787338547995,0.57104420607943
28,29,2016,2016-08-28,West Bromwich Albion,1.0,1.413090909090909,1.6814545454545453,1.05,-0.018181818181818174,1.018181818181818,1.5376363636363635,1.5018181818181817,1.069090909090909,Middlesbrough,1.509090909090909,1.0945454545454545,1.0841818181818181,1.5845454545454543,0.509090909090909,1.0,1.0743636363636364,1.6556363636363636,1.05,59.12,56.62,0.4596,0.2571,0.2833,1.39,1.04,33.0,28.8,D,0.0,0.0,1499.7674359937105,1507.8730883499677,0.5628350891247897
